date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2026-01-01,5352,2911,2979,58,1323,4.75,4,0,0,0,1,3
2026-01-02,7095,3214,4271,118,1589,4.57,7,0,0,0,3,4
2026-01-03,6688,3058,3933,70,1223,4.5,6,0,0,1,1,4
2026-01-04,6091,3038,3575,54,1082,4.4,5,0,0,0,3,2
2026-01-05,5145,3131,3055,75,807,4.67,3,0,0,0,1,2
2026-01-06,4890,2993,2893,37,736,5,3,0,0,0,0,3
2026-01-07,4633,3031,2714,40,730,4.6,5,0,0,0,2,3
2026-01-08,4734,3289,2793,44,840,4.67,3,0,0,0,1,2
2026-01-09,5062,3460,2960,43,869,4,2,0,0,1,0,1
2026-01-10,6844,2673,3924,68,1481,5,1,0,0,0,0,1
2026-01-11,7000,3213,3957,63,1176,4.5,2,0,0,0,1,1
2026-01-12,6653,2914,3995,45,1035,4.4,5,0,1,0,0,4
2026-01-13,5044,3141,3029,28,759,4.56,9,0,1,0,1,7
2026-01-14,4843,2937,2928,28,766,3.33,3,1,0,0,1,1
2026-01-15,4938,2930,3075,45,788,4.88,8,0,0,0,1,7
2026-01-16,5122,2850,3234,45,767,3.75,4,0,1,0,2,1
2026-01-17,7191,1741,4210,55,1044,5,1,0,0,0,0,1
2026-01-18,7127,1589,4272,61,988,3.67,6,0,2,1,0,3
2026-01-19,5301,1388,3080,36,751,4.4,5,0,0,0,3,2
2026-01-20,5270,2388,3081,42,835,4.6,5,0,0,0,2,3
2026-01-21,4847,2310,2825,35,752,2.5,2,1,0,0,1,0
2026-01-22,4951,2512,2963,47,797,0,0,0,0,0,0,0
2026-01-23,5253,2671,3219,42,861,4,1,0,0,0,1,0
2026-01-24,6943,1793,3900,41,1127,4.8,5,0,0,0,1,4
2026-01-25,6580,1803,3941,54,1088,5,2,0,0,0,0,2
2026-01-26,5100,2526,3121,44,828,5,3,0,0,0,0,3
2026-01-27,4510,2275,2615,25,698,4.6,5,0,0,0,2,3
2026-01-28,4344,2174,2568,30,631,4.4,5,0,0,1,1,3
2026-01-29,4364,2043,2654,35,687,3.67,3,1,0,0,0,2
2026-01-30,4830,2273,3026,44,788,5,1,0,0,0,0,1
2026-01-31,6746,1659,4137,41,919,4.75,8,0,0,0,2,6
2026-02-01,6298,1536,3907,50,940,3.67,3,1,0,0,0,2
2026-02-02,4755,2118,2877,33,687,3,3,0,1,1,1,0
2026-02-03,4455,2160,2854,31,682,4.8,5,0,0,0,1,4
2026-02-04,4671,2216,2918,32,653,5,2,0,0,0,0,2
2026-02-05,4528,2137,2771,46,597,4.33,3,0,0,0,2,1
2026-02-06,5007,1967,3152,54,656,5,3,0,0,0,0,3
2026-02-07,6644,1338,3945,63,819,4.57,7,0,0,1,1,5
2026-02-08,6096,1550,3698,64,931,4.13,8,0,0,3,1,4
2026-02-09,4683,1975,3010,43,727,4.67,3,0,0,0,1,2
2026-02-10,5069,2064,3078,39,729,5,2,0,0,0,0,2
2026-02-11,6256,1544,3980,54,1000,4.5,4,0,0,0,2,2
2026-02-12,4662,1845,2866,25,713,4,3,0,1,0,0,2
2026-02-13,5464,2090,3347,55,801,4,1,0,0,0,1,0
2026-02-14,7097,0,4345,77,1044,4.5,2,0,0,0,1,1
2026-02-15,7285,0,4537,72,1053,5,4,0,0,0,0,4
2026-02-16,5400,2173,3498,46,866,4.5,8,0,0,0,4,4
2026-02-17,5185,2178,3220,30,803,4.89,9,0,0,0,1,8
2026-02-18,5344,2107,3324,38,811,4.4,5,0,0,0,3,2
2026-02-19,5355,2120,3391,51,896,4.5,4,0,0,0,2,2
2026-02-20,5991,2327,3814,68,943,4.8,5,0,0,0,1,4
2026-02-21,9093,2294,5830,84,1463,4.38,8,0,1,0,2,5
2026-02-22,10350,2329,6505,162,1485,4.38,8,0,0,2,1,5
2026-02-23,7317,2069,4898,78,1117,3.7,10,2,1,0,2,5
2026-02-24,5413,2262,3543,50,832,5,4,0,0,0,0,4
2026-02-25,4757,2106,3097,36,886,5,1,0,0,0,0,1
2026-02-26,4925,0,3307,0,0,3.82,11,2,0,1,3,5
2026-02-27,0,0,0,0,0,4.29,7,0,0,1,3,3
2026-02-28,0,0,0,0,0,4.6,5,0,0,1,0,4
2026-03-01,0,0,0,0,0,5,5,0,0,0,0,5
2026-03-02,4670,2188,3084,57,901,4.71,7,0,0,0,2,5
2026-03-03,4511,2467,3047,50,941,0,0,0,0,0,0,0
2026-03-04,4424,2267,2963,46,944,0,0,0,0,0,0,0
2026-03-05,4423,2446,2958,39,923,0,0,0,0,0,0,0
2026-03-06,4829,2115,3242,52,813,5,2,0,0,0,0,2
2026-03-07,6353,1886,4196,75,1083,4.5,12,0,0,0,6,6
2026-03-08,6426,1955,4623,52,1180,4.8,5,0,0,0,1,4
2026-03-09,4790,0,3300,0,0,4.5,2,0,0,0,1,1
2026-03-10,0,0,0,0,0,4.4,5,0,0,1,1,3
2026-03-11,0,0,0,0,0,4.86,7,0,0,0,1,6
2026-03-12,0,0,0,0,0,5,2,0,0,0,0,2
2026-03-13,0,0,0,0,0,5,4,0,0,0,0,4
2026-03-14,12716,3992,8318,178,1912,0,0,0,0,0,0,0
2026-03-15,12738,2019,8674,72,1192,0,0,0,0,0,0,0
2026-03-16,4947,2321,3404,62,1054,0,0,0,0,0,0,0
2026-03-17,4583,0,3190,0,0,4,5,0,0,2,1,2
2026-03-18,4825,0,3273,0,0,4.5,6,0,0,0,3,3
2026-03-19,5408,0,3791,0,0,4.4,10,0,0,2,2,6
2026-03-20,7623,0,5140,0,0,4.43,14,1,0,0,4,9
2026-03-21,7799,0,4905,0,0,4.47,15,0,0,2,4,9
2026-03-22,6626,2126,4368,76,1262,4.25,8,0,0,2,2,4
2026-03-23,4963,2230,3372,43,945,4,10,0,0,3,4,3
2026-03-24,4523,1843,2927,63,857,4.5,2,0,0,0,1,1
2026-03-25,4509,1997,3162,57,901,4.78,9,0,0,0,2,7
2026-03-26,4830,2067,3227,66,1009,5,4,0,0,0,0,4
2026-03-27,5043,1975,3387,73,1001,4.13,8,1,0,1,1,5
2026-03-28,6323,1906,3954,101,1262,4.5,10,0,0,0,5,5
2026-03-29,6262,2057,4071,70,1201,4.1,10,0,0,3,3,4
2026-03-30,4828,2152,3285,76,955,4.5,8,0,0,1,2,5
2026-03-31,4268,1895,2921,72,881,5,3,0,0,0,0,3
2026-04-01,3842,1727,2626,46,805,4.5,8,0,0,0,4,4
2026-04-02,3985,1734,2542,44,787,4.73,11,0,0,1,1,9
2026-04-03,4349,1657,2751,71,803,4.4,5,0,0,1,1,3
2026-04-04,5983,1970,3546,96,1129,4.5,10,0,0,1,3,6
2026-04-05,5701,1934,3398,79,1048,4.56,9,0,0,0,4,5
2026-04-06,4050,1746,2588,55,785,4.42,12,0,0,1,5,6
2026-04-07,3802,1597,2236,45,690,4.63,8,0,0,0,3,5
2026-04-08,3277,1512,1958,34,562,5,6,0,0,0,0,6
2026-04-09,3585,1750,2243,36,616,4.71,7,0,0,1,0,6
2026-04-10,4090,1863,2545,52,802,4.57,7,0,0,1,1,5
2026-04-11,5788,1901,3389,74,1058,4.5,4,0,0,1,0,3
2026-04-12,6077,2068,3859,79,1183,4.56,9,0,0,0,4,5
2026-04-13,4181,2152,2654,46,790,5,3,0,0,0,0,3
2026-04-14,3764,0,2500,49,736,4.71,7,0,0,0,2,5
2026-04-15,0,0,0,0,0,5,6,0,0,0,0,6
2026-04-16,3894,2260,2516,38,817,5,4,0,0,0,0,4
