date,map_views,search_views,directions,call_clicks,website_clicks,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2026-01-01,785,395,75,2,74,0,0,0,0,0,0,0
2026-01-02,941,408,136,4,63,4,2,0,0,0,2,0
2026-01-03,978,410,157,4,61,5,1,0,0,0,0,1
2026-01-04,975,382,156,2,47,4.5,2,0,0,0,1,1
2026-01-05,720,331,84,2,31,3,1,0,0,1,0,0
2026-01-06,675,340,83,1,30,4.25,4,0,0,1,1,2
2026-01-07,571,321,92,2,51,0,0,0,0,0,0,0
2026-01-08,658,348,51,2,35,0,0,0,0,0,0,0
2026-01-09,713,345,96,0,52,5,1,0,0,0,0,1
2026-01-10,1127,415,174,0,53,0,0,0,0,0,0,0
2026-01-11,994,377,145,1,46,2,1,0,1,0,0,0
2026-01-12,857,346,101,6,45,1,1,1,0,0,0,0
2026-01-13,618,398,62,0,34,4.6,5,0,0,1,0,4
2026-01-14,610,459,86,1,27,0,0,0,0,0,0,0
2026-01-15,699,379,91,3,35,0,0,0,0,0,0,0
2026-01-16,794,449,119,5,48,0,0,0,0,0,0,0
2026-01-17,1307,372,168,2,67,2.67,3,1,0,1,1,0
2026-01-18,1191,361,203,4,64,0,0,0,0,0,0,0
2026-01-19,359,0,63,2,11,0,0,0,0,0,0,0
2026-01-20,327,103,45,3,20,3.5,0,0,0,0,0,0
2026-01-21,352,93,47,2,12,0,0,0,0,0,0,0
2026-01-22,421,94,42,1,8,0,1,0,0,0,1,0
2026-01-23,543,94,53,1,15,0,1,0,0,1,0,0
2026-01-24,517,75,66,2,15,0,1,0,0,1,0,0
2026-01-25,477,84,56,2,14,0,0,0,0,0,0,0
2026-01-26,411,106,54,1,14,0,0,0,0,0,0,0
2026-01-27,359,127,44,1,14,3.5,0,0,0,0,0,0
2026-01-28,301,89,46,4,15,3.5,0,0,0,0,0,0
2026-01-29,371,89,38,0,9,3.5,0,0,0,0,0,0
2026-01-30,337,80,45,2,7,3.5,0,0,0,0,0,0
2026-01-31,461,89,97,2,20,3.5,0,0,0,0,0,0
2026-02-01,466,99,95,2,31,3.5,3,0,0,0,2,1
2026-02-02,380,87,59,0,23,3.5,0,0,0,0,0,0
2026-02-03,320,79,68,0,12,3.5,1,0,0,0,1,0
2026-02-04,305,87,51,1,20,3.5,1,0,0,0,1,0
2026-02-05,335,98,68,2,17,3.5,1,0,0,0,0,1
2026-02-06,326,81,71,1,13,3.5,0,0,0,0,0,0
2026-02-07,459,77,103,4,16,3.5,1,0,0,0,1,0
2026-02-08,388,72,84,1,15,3.5,1,1,0,0,0,0
2026-02-09,0,0,0,0,0,3.5,0,0,0,0,0,0
2026-02-10,0,0,0,0,0,3.5,0,0,0,0,0,0
2026-02-11,0,0,0,0,0,3.5,0,0,0,0,0,0
